1,94,Teresa Widmer,16,Knitted Throw Pillows,Pillows,PayPal,8,19.99,00000000000,Ukraine,Pivnichne,Amazon,64538,Y,
2,704,Peggy Mccrimmon,10,Gardening hand trowel,Plants,Google Pay,1,10.99,2021-04-29 22:04:58,Tanzania,Same,Lowes,64539,Y,
3,118,Prudence Cambell,5,Pink Armchair,Chair,Internet Banking,1,750.0,2018-03-29 15:12:18,Portugal,Lousã,Home Depot,64540,Y,
4,179,Leroy Hudson,4,White Bed Clothes,Bed,PayPal,6,29.99,2017-06-15 02:28:19,United Kingdom,Garforth,Home Depot,64541,Y,
5,904,Guy Stanley,18,Black Beanbag,"Black, Leather",Google Pay,1,69.99,2019-01-06 17:30:15,United States,Charleston,Home Depot,64542,Y,
6,419,Michelle Finney,9,Yellow watering can,Plants,Internet Banking,5,40.99,2016-12-04 09:40:54,Philippines,Jasaan,Lowes,64543,Y,
7,558,Kay Norris,12,Grey Sofa,Sofa,PayPal,8,29.99,2015-09-22 17:07:24,Brazil,Itamonte,Home Depot,64544,Y,
8,355,Ofelia Sullens,18,Black Beanbag,"Black, Leather",Internet Banking,6,69.99,2023-11-10 05:41:56,Italy,Monteroni di Lecce,Home Depot,64545,Y,
9,639,Jeffrey Sanchez,18,Black Beanbag,"Black, Leather",Internet Banking,6,69.99,2019-03-04 02:18:14,United States,Garfield,Home Depot,64546,Y,
10,845,Chris Tote,5,Pink Armchair,Chair,Google Pay,9,750.0,2020-04-02 22:54:47,Algeria,Oued el Abtal,Lowes,64547,Y,
11,432,Jane Pack,11,Biodegradable cardboard pots,"Garden, Plants",Google Pay,3,10.0,2019-03-11 02:39:30,Malta,Mellieħa,Lowes,64548,Y,
12,354,Eva Holohan,8,White Ceramic Pot,"Pot, Plants",Google Pay,7,15.99,2019-10-13 09:11:05,United Kingdom,East Leake,Walmart,64549,Y,
13,716,Charles Smith,19,Bedside Table,"Wood, Bedroom",Google Pay,9,69.99,2019-08-02 02:31:23,Tanzania,Mlimba,Walmart,64550,Y,
14,331,Peggy Andrews,8,White Ceramic Pot,"Pot, Plants",Internet Banking,4,15.99,2014-01-22 22:19:05,China,Nan Zhuang,Walmart,64551,Y,
15,782,Maureen Emmons,6,Wooden Outdoor Table,"Wood, Garden",Internet Banking,7,99.99,2022-02-27 23:36:45,Canada,Saint John,Walmart,64552,Y,
16,987,Edwin Spurgeon,18,Black Beanbag,"Black, Leather",Card,1,69.99,2017-09-28 22:55:51,Iran,Eqbālīyeh,Walmart,64553,Y,
