order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
70607055-6c74-4775-9145-0139143d8d24,665669,Michelle Rodgers,54,shovel,Home & Garden,Cash,14,32.4,2009-07-04 09:55,Haiti,North Johnport1,www.shopify.com/Total global access/,39688,N,network timeout
9f42201b-8ae0-4ff2-a61f-7cb3123afc36,709232,Mr. Brandon Smith MD,11,Pet Food,Pet Supplies,Cash,4,100.12,1973-07-01 02:14,Fiji,Port Juliaburgh3,www.aliexpress.com/Polarized global implementation/,15066,Y,payment failed
b554d3e0-40e3-448c-ac34-d72ad251da04,942931,Alexis Barr,19,Perfume,Beauty,Cash,11,7.86,1973-12-29 07:49,Venezuela,Rileyland6,www.wayfair.com/Team-oriented next generation matrix/,73214,N,card declined
21840d6d-219b-4367-8366-ac9d99732686,210598,Madeline Novak,16,flute,Musical Instruments,Cash,2,141.28,2019-08-28 19:59,United States Virgin Islands,Lake Melissa4,www.flipkart.com/Synchronized real-time initiative/,34820,Y,payment failed
c3f2cdc0-02ea-4b16-ab51-509da27af802,282250,Edward Maddox,75,Spider-Man (PS4),Video Games,Debit,18,5.43,1980-08-26 04:37,Burkina Faso,Lake Spencer9,www.newegg.com/Secured object-oriented productivity/,34461,N,card declined
ed8050da-c7c5-46f2-9b2e-ea72f03293ce,124211,Dr. Michael Mills,209,Feeding Station,Pet Supplies,Cash,15,15.74,1983-02-25 15:22,Nicaragua,Smithchester6,www.shopify.com/User-friendly 6thgeneration encryption/,63656,N,card declined
e24f64c2-7f3a-4be3-a7ba-56e45ad5c6c5,771719,Justin Collier,36,Ubuntu,Software,Cash,20,96.22,1979-02-27 12:41,Hungary,Rosalesport2,www.microcenter.com/Mandatory intangible definition/,32779,N,insufficient funds
9cb8727c-1517-4899-bd87-defdc07b58ff,934533,Deborah Reyes,80,Sleeping Pad,Outdoors,Cash,7,182.3,1993-04-02 15:32,Palau,Jenniferton7,www.walmart.com/Public-key optimal help-desk/,11398,N,payment failed
5b33b2c9-a5fe-482c-ad64-b923358703e1,923442,Nicole Mcclure,24,romantic poetry,Fine Art,Cash,19,112.66,2001-12-14 01:07,El Salvador,Jonesburgh5,www.aliexpress.com/Balanced bottom-line structure/,26062,N,payment failed
ae9c24c4-597b-4443-9634-ce1eb4678213,785312,Erika Smith,130,Golf Glove,Sports,Credit,15,14.72,2005-08-17 07:42,Georgia,Phillipsberg6,www.overstock.com/Managed content-based alliance/,40256,Y,network timeout
2fc3beb6-1361-45d4-a557-dc42dc104b6a,422756,Gina Tyler,160,Camping Chairs,Outdoors,Debit,12,167.57,1996-01-27 09:48,Tanzania,South Lisaborough4,www.overstock.com/Extended dedicated time-frame/,69004,N,card declined
3a403f34-cffc-4f0c-9189-80fcc4c6737b,966294,Jeremy Gallagher,104,Golf Balls,Sports,Credit,13,92.2,1999-12-22 01:22,Ireland,Port Jacqueline1,www.target.com/Assimilated maximized archive/,71094,N,network timeout
08f67232-e89f-467a-a747-74abf268a6ce,755607,Melissa Gordon,28,sad poetry,Fine Art,Credit,6,56.73,1970-04-27 23:30,Tuvalu,East Miguelmouth1,www.walmart.com/Multi-tiered global core/,82963,N,network timeout
d26d26cf-3b3d-4a7c-ab7a-a77bd1da55ad,245569,Mrs. Chelsea Cooper,55,Leash,Pet Supplies,Credit,5,108.51,1979-05-30 21:03,Solomon Islands,Vasquezborough4,www.ebay.com/Function-based fault-tolerant frame/,87452,N,network timeout
db0ea8c8-0103-488a-ace4-74a5161a8db7,872701,Sandra West,30,white fuzzy blanket,Home & Garden,Debit,18,172.1,2011-01-27 06:22,Eritrea,Port Shaneville6,www.newegg.com/Adaptive regional focus group/,44846,Y,card declined
05c35c4c-5388-42a1-a0aa-9c155e569833,124980,Ashlee Horn,7,Mascara,Beauty,Cash,20,172.25,2004-10-02 16:59,Cameroon,Port Daniel5,www.walmart.com/De-engineered disintermediate encryption/,54740,N,insufficient funds
f1df2c0d-70e8-41c6-81a9-c96e6ec7410e,263710,Kathryn Skinner,220,Pet Gates,Pet Supplies,Cash,20,182.11,2005-02-08 19:56,Papua New Guinea,North Austin2,www.etsy.com/Assimilated system-worthy throughput/,14388,Y,insufficient funds
60214a77-8bdc-4ba3-97be-6c10359276fd,745483,Daniel Snow,7,Mascara,Beauty,Debit,3,83.77,2008-01-05 01:11,Dominican Republic,Wilcoxmouth3,www.amazon.com/Progressive value-added challenge/,75830,Y,card declined
d51f3f9b-0b89-4c66-9f00-a89966022d49,980018,Jessica Hines,153,IWC Pilot’s Watch,Watches,Debit,16,70.13,1980-10-10 13:00,Chile,New Toddport5,www.target.com/Team-oriented disintermediate interface/,44227,N,payment failed
23d86448-0d2c-43c7-8652-5498a1c336bd,850576,Hannah Cline,60,Android,Software,Credit,16,153.42,2012-01-02 10:55,Namibia,Lake Sydneymouth6,www.overstock.com/Open-architected next generation policy/,55544,N,network timeout
224ba6b0-dd0d-4c63-8450-8c136cce6303,136509,Adam Mays,176,Pet Brush,Pet Supplies,Debit,1,9.28,2010-05-11 21:30,Haiti,Port Chelsea8,www.etsy.com/Face-to-face even-keeled orchestration/,88249,Y,payment failed
cb47b385-5df1-4d4b-b90c-323639be5d31,148655,Amanda Garza,12,refrigerator,Electronics,Credit,9,120.56,2002-11-27 16:03,Singapore,Delgadoton9,www.bestbuy.com/Programmable asymmetric installation/,27916,N,insufficient funds
37314ecb-34f6-4237-a050-c85e4211b903,873040,Tiffany Phelps,135,DOOM Eternal,Video Games,Credit,3,144.64,2022-06-25 02:19,Guadeloupe,Hamiltonbury6,www.overstock.com/Public-key fault-tolerant task-force/,67233,Y,card declined
862ba102-0ace-4fa0-a143-b0bbfa58a4ba,331581,Shawn Goodman,90,Horizon Forbidden West,Video Games,Cash,1,108.22,1979-05-19 06:49,Cape Verde,Alexanderchester7,www.walmart.com/Cross-platform methodical initiative/,45289,Y,insufficient funds
ca14ec7e-3533-4f71-8ee4-9c9f3104ae2e,133376,Jacob Foster,16,flute,Musical Instruments,Cash,13,125.26,1970-08-03 20:30,Micronesia,West Kathleen3,www.target.com/Right-sized real-time leverage/,25152,Y,payment failed
29741929-3d59-434c-9837-a716521782d3,413810,Joshua Nicholson,16, mermaid sculpture,Fine Art,Cash,1,146.72,1984-08-24 04:16,Dominican Republic,South Amyfurt3,www.flipkart.com/Organized systematic parallelism/,77446,Y,network timeout
172bb0a6-1b8b-423b-b4e8-500f31ea09dc,791786,Robert Morris,28,Basketball,Toys & Games,Credit,9,29.82,1988-03-05 13:00,Malawi,West Tanner4,www.alibaba.com/Customer-focused well-modulated matrix/,71676,N,network timeout
0ea56503-aab2-4ed4-9929-8df18366db6f,987949,David Cameron,16,The Hobbit,Books,Credit,11,139.46,1978-06-24 18:08,Saint Barthelemy,Claystad2,www.overstock.com/Face-to-face 3rdgeneration encryption/,54075,N,card declined
24a51a87-73b9-4930-a08d-0a25bb935305,906685,Rebekah Lewis,30,white fuzzy blanket,Home & Garden,Credit,15,172.73,2002-10-20 08:15,Niger,Lake Jeremyfort10,www.aliexpress.com/Streamlined multi-tasking Graphical User Interface/,95258,Y,payment failed
5962416e-3bfc-4475-821a-e2b20401496f,812749,Daniel Lane,33,Food Bowl,Pet Supplies,Cash,11,109.29,2007-01-16 13:25,Fiji,East Seanberg6,www.shopify.com/User-centric analyzing methodology/,99597,N,payment failed
ea9e4c31-97b6-4c86-8d3b-9558b666afc7,939263,Jason Johnson,18,Pens,Office Products,Credit,15,95.9,2019-03-13 01:06,El Salvador,Port Angieville5,www.flipkart.com/Compatible motivating capability/,20348,Y,insufficient funds
01e3f18b-6774-4da7-8e1d-c78ed03025e8,166803,Adriana Beard,35,Shrek,Music & DVD,Cash,11,75.37,2012-06-25 17:20,Kazakhstan,Allisonside3,www.flipkart.com/Sharable empowering migration/,55816,Y,network timeout
f9c0c69c-f680-4f51-b09a-653aa37e3048,388474,Elizabeth Payne,25,advil,Health & Personal Care,Credit,18,160.31,2015-03-05 20:02,Tuvalu,Lake John1,www.newegg.com/Visionary hybrid protocol/,54747,Y,insufficient funds
f21c4e77-e875-4b8b-8ce3-071a1cd011e9,793480,Shannon Brown,5,fish oil,Health & Personal Care,Debit,15,35.34,2012-09-26 13:12,Bahamas,Michaelstad8,www.target.com/Right-sized secondary website/,59938,Y,network timeout
