1,46,Greta Thunberg,2,rope,toy,google_pay,2,12.6,2024-01-30 10:17:17,United States,Tampa,chewy.com,6387026864,True,
2,23,Slavoj Zizek,16,long leash,leash,credit_card,4,19.42,2024-01-23 08:26:52,United States,Tulsa,onpdg.com,3517410698,True,
3,22,Noam Chomsky,5,medium crate,crates,paypal,9,76.5,2024-02-24 23:57:24,United States,Moscow,onpdg.com,5347141301,True,
4,21,Simone de Beauvoir,14,short leash,leash,paypal,14,12.9,2024-01-23 05:14:43,United States,Winston-Salem,petsmart.com,6751414790,True,
5,21,Simone de Beauvoir,8,diet pills,meds,google_pay,9,58.49,2024-02-19 18:00:11,United States,Winston-Salem,petsmart.com,8510058890,True,
6,35,George W. Bush,7,antibiotics,meds,google_pay,8,21.85,2024-02-02 09:41:00,United States,Phoenix,petsmart.com,4000486436,True,
7,40,Gilles Deleuze,15,medium leash,leash,apple_pay,10,27.27,2024-02-22 00:40:00,Mexico,Ensenada,petsmart.com,5699903570,True,
8,6,Jean-Paul Sartre,5,medium bed,bed,apple_pay,8,51.93,2024-02-17 08:18:10,United States,Flagstaff,petsmart.com,4777689127,True,
9,15,Socrates,5,medium crate,crates,apple_pay,6,76.5,2024-02-24 03:27:22,United States,Las Vegas,onpdg.com,1317478919,True,
10,3,Isaac Newton,5,medium crate,crates,paypal,14,76.5,2024-01-25 08:50:23,United States,Caldwell,onpdg.com,7491077976,True,
11,24,Jean-Paul Sartre,6,large crate,crates,paypal,9,136.39,2024-01-16 19:37:41,Mexico,Puerto Vallarta,petsmart.com,2766566812,True,
12,2,Judith Butler,4,small dog,food,apple_pay,15,22.23,2024-01-22 00:00:48,Canada,Toronto,petsmart.com,7835985719,True,
13,31,Henry Kissinger,1,chew toy,toy,credit_card,3,10.25,2024-01-02 19:09:25,United States,San Francisco,chewy.com,8237515842,True,
14,27,Bill Clinton,4,small bed,bed,apple_pay,7,58.3,2024-01-08 22:10:17,United States,Scottsdale,petsmart.com,7141103659,True,
15,30,Emma Goldman,6,large crate,crates,paypal,10,136.39,2024-01-14 21:11:16,United States,Portland,onpdg.com,5864874486,True,
16,29,Simone de Beauvoir,5,medium dog,food,google_pay,5,46.81,2024-02-23 22:41:45,United States,San Antonio,chewy.com,3749767854,True,
17,33,Noam Chomsky,4,small crate,crates,google_pay,1,92.76,2024-02-07 03:07:46,United States,Tampa,onpdg.com,4114568729,True,
18,48,Henry Kissinger,2,rope,toy,credit_card,8,12.6,2024-02-28 13:40:56,Mexico,Guadalajara,chewy.com,1208492461,True,
19,50,Harry Wallace,14,short leash,leash,apple_pay,10,12.9,2024-02-07 18:46:33,United States,St. George,onpdg.com,7858061050,True,
20,5,Charles Darwin,7,antibiotics,meds,credit_card,12,21.85,2024-02-08 19:00:18,United States,Pocatello,petsmart.com,2972898813,True,
21,49,Ronald Reagan,6,large crate,crates,credit_card,15,136.39,2024-02-13 20:54:06,United States,Ogden,amazon.com,4353501763,True,
22,3,Isaac Newton,6,large dog,food,google_pay,8,30.93,2024-01-16 05:22:16,United States,Caldwell,chewy.com,7422875463,True,
23,37,Slavoj Zizek,16,long leash,leash,google_pay,10,19.42,2024-02-03 06:08:55,Canada,Toronto,onpdg.com,4141916724,True,
24,10,Isaac Newton,4,small crate,crates,apple_pay,4,92.76,2024-01-07 20:00:57,United States,Flagstaff,onpdg.com,7228058640,True,
25,49,Ronald Reagan,16,long leash,leash,google_pay,13,19.42,2024-02-24 12:09:29,United States,Ogden,petsmart.com,8484409112,True,
26,21,Simone de Beauvoir,8,diet pills,meds,credit_card,7,58.49,2024-01-20 18:03:20,United States,Winston-Salem,chewy.com,9718814411,True,
27,4,Marie Curie,4,small bed,bed,paypal,11,58.3,2024-03-01 08:31:11,Mexico,Oaxaca,amazon.com,5617322263,True,
28,4,Marie Curie,3,stuffed animal,toy,google_pay,15,12.01,2024-02-26 16:17:02,Mexico,Oaxaca,chewy.com,7193175646,True,
29,29,Simone de Beauvoir,7,antibiotics,meds,apple_pay,9,21.85,2024-02-07 18:22:10,United States,San Antonio,amazon.com,1972295665,True,
30,15,Socrates,7,antibiotics,meds,paypal,7,21.85,2024-02-22 15:50:41,United States,Las Vegas,amazon.com,3589799695,True,
31,20,Rosa Luxemburg,15,medium leash,leash,credit_card,0,27.27,2024-02-28 01:27:55,United States,Carson City,amazon.com,7012115087,True,
32,48,Henry Kissinger,4,small crate,crates,credit_card,0,92.76,2024-01-17 06:16:50,Mexico,Guadalajara,onpdg.com,7315346110,True,
33,42,Gilles Deleuze,7,antibiotics,meds,apple_pay,3,21.85,2024-01-29 11:47:03,United States,St. George,amazon.com,9176318012,True,
34,4,Marie Curie,6,large bed,bed,credit_card,13,82.12,2024-01-18 12:54:00,Mexico,Oaxaca,onpdg.com,1606897717,True,
35,43,Henry Kissinger,5,medium bed,bed,google_pay,10,51.93,2024-01-09 15:54:48,United States,Portland,onpdg.com,6150078094,True,
36,39,Charles Darwin,6,large crate,crates,credit_card,9,136.39,2024-01-23 07:09:22,United States,Santa Ana,petsmart.com,7812304098,True,
